,director_name,Film,gross,genres,duration,plot_keywords,Year,Award,Name
387,Paul Thomas Anderson,Boogie Nights,26384919.0,Drama,155.0,1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california,1997,Actor in a Supporting Role,Burt Reynolds
388,Paul Thomas Anderson,Boogie Nights,26384919.0,Drama,155.0,1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california,1997,Actress in a Supporting Role,Julianne Moore
389,Kathryn Bigelow,The Hurt Locker,15700000.0,Drama|History|Thriller|War,131.0,army|bomb|dangerous job|death|iraq,2009,Actor in a Leading Role,Jeremy Renner
390,Terry Gilliam,Brazil,9929000.0,Drama|Sci-Fi,142.0,black comedy|bureaucracy|dream|terrorist|wrongful arrest,1962,Foreign Language Film,Keeper of Promises (The Given Word) 
391,Terry Gilliam,Brazil,9929000.0,Drama|Sci-Fi,142.0,black comedy|bureaucracy|dream|terrorist|wrongful arrest,1995,Foreign Language Film,O Quatrilho 
392,Terry Gilliam,Brazil,9929000.0,Drama|Sci-Fi,142.0,black comedy|bureaucracy|dream|terrorist|wrongful arrest,1997,Foreign Language Film,Four Days in September 
393,Terry Gilliam,Brazil,9929000.0,Drama|Sci-Fi,142.0,black comedy|bureaucracy|dream|terrorist|wrongful arrest,1998,Foreign Language Film,Central Station 
394,Clint Eastwood,Unforgiven,101157447.0,Drama|Western,131.0,englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave,1992,Actor in a Leading Role,Clint Eastwood
395,Clint Eastwood,Unforgiven,101157447.0,Drama|Western,131.0,englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave,1992,Actor in a Supporting Role,Gene Hackman
396,Adrian Lyne,Fatal Attraction,156645693.0,Drama|Romance|Thriller,119.0,borderline personality disorder|killing a pet|madame butterfly|new york|new york city,1987,Actress in a Leading Role,Glenn Close
397,Adrian Lyne,Fatal Attraction,156645693.0,Drama|Romance|Thriller,119.0,borderline personality disorder|killing a pet|madame butterfly|new york|new york city,1987,Actress in a Supporting Role,Anne Archer
398,Garry Marshall,Pretty Woman,178406268.0,Comedy|Romance,125.0,businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman,1990,Actress in a Leading Role,Julia Roberts
399,Oliver Stone,Born on the Fourth of July,70001698.0,Biography|Drama|War,145.0,desert|drunkenness|religious mother|strict mother|vietnam war,1989,Actor in a Leading Role,Tom Cruise
400,Phyllida Lloyd,The Iron Lady,29959436.0,Biography|Drama|History,105.0,british prime minister|female prime minister|politics|prime minister|told in flashback,2011,Actress in a Leading Role,Meryl Streep
401,Todd Field,Little Children,5459824.0,Drama|Romance,137.0,adulterous wife|bar|dysfunctional marriage|sex offender|suburb,2006,Actor in a Supporting Role,Jackie Earle Haley
402,Todd Field,Little Children,5459824.0,Drama|Romance,137.0,adulterous wife|bar|dysfunctional marriage|sex offender|suburb,2006,Actress in a Leading Role,Kate Winslet
403,Ang Lee,Brokeback Mountain,83025853.0,Drama|Romance,134.0,gay relationship|homosexuality|mountain|ranch|rodeo,2005,Actor in a Leading Role,Heath Ledger
404,Ang Lee,Brokeback Mountain,83025853.0,Drama|Romance,134.0,gay relationship|homosexuality|mountain|ranch|rodeo,2005,Actor in a Supporting Role,Jake Gyllenhaal
405,Ang Lee,Brokeback Mountain,83025853.0,Drama|Romance,134.0,gay relationship|homosexuality|mountain|ranch|rodeo,2005,Actress in a Supporting Role,Michelle Williams
406,Todd Haynes,Far from Heaven,15854988.0,Drama|Romance,107.0,african american|catastrophe|family relationships|farewell scene|therapy,2002,Actress in a Leading Role,Julianne Moore
407,Philip Kaufman,Quills,7060876.0,Biography|Drama,124.0,asylum|lust|male pubic hair|penis|pubic hair,2000,Actor in a Leading Role,Geoffrey Rush
408,Barry Levinson,"Good Morning, Vietnam",123922370.0,Biography|Comedy|Drama|War,121.0,disc jockey|friendship|radio|vietnam|vietnamese,1987,Actor in a Leading Role,Robin Williams
409,Darren Aronofsky,Black Swan,106952327.0,Drama|Thriller,108.0,ballerina|ballet|fear|female protagonist|madness,2010,Actress in a Leading Role,Natalie Portman
410,Spike Jonze,Being John Malkovich,22858926.0,Comedy|Drama|Fantasy,112.0,body swap|magical realism|portal|puppeteer|surrealism,1999,Actress in a Supporting Role,Catherine Keener
411,Lenny Abrahamson,Room,14677654.0,Drama,118.0,based on novel|escape|imprisonment|kidnapping|mother son relationship,2015,Actress in a Leading Role,Brie Larson
412,James Foley,Glengarry Glen Ross,10725228.0,Crime|Drama|Mystery,100.0,office|pressure|real estate|robbery|sales,1992,Actor in a Supporting Role,Al Pacino
413,William Friedkin,The Exorcist,204565000.0,Horror,132.0,demonic possession|exorcism|exorcist|loss of innocence|priest,1973,Actor in a Supporting Role,Jason Miller
414,William Friedkin,The Exorcist,204565000.0,Horror,132.0,demonic possession|exorcism|exorcist|loss of innocence|priest,1973,Actress,Ellen Burstyn
415,William Friedkin,The Exorcist,204565000.0,Horror,132.0,demonic possession|exorcism|exorcist|loss of innocence|priest,1973,Actress in a Supporting Role,Linda Blair
416,Peter Weir,Witness,65500000.0,Crime|Drama|Romance|Thriller,112.0,amish|love|murder|police|train,1985,Actor in a Leading Role,Harrison Ford
417,Quentin Tarantino,Jackie Brown,39647595.0,Crime|Thriller,154.0,arms dealer|atf|bail|money|multiple perspectives,1997,Actor in a Supporting Role,Robert Forster
418,Barbra Streisand,Yentl,30400000.0,Drama|Musical|Romance,132.0,love|study|talmud|wedding|yeshiva,1983,Actress in a Supporting Role,Amy Irving
419,Franklin J. Schaffner,Patton,,Biography|Drama|War,172.0,allies|dead soldier|destiny|general|tank,1970,Actor,George C. Scott
420,Julie Taymor,Frida,25776062.0,Biography|Drama|Romance,123.0,art|bisexual|marriage|pain|revolutionary,2002,Actress in a Leading Role,Salma Hayek
421,Stephen Frears,Philomena,37707719.0,Biography|Drama,98.0,catholic|convent|gay love|gay relationship|irish adoption board,2013,Actress in a Leading Role,Judi Dench
422,Franklin J. Schaffner,The Boys from Brazil,,Drama|Thriller,125.0,1970s|jew|nazi|nazi hunter|paraguay,1978,Actor in a Leading Role,Laurence Olivier
423,Alexander Payne,Nebraska,17613460.0,Adventure|Comedy|Drama,115.0,aging|billings montana|lincoln nebraska|nebraska|pickup truck,2013,Actor in a Leading Role,Bruce Dern
424,Alexander Payne,Nebraska,17613460.0,Adventure|Comedy|Drama,115.0,aging|billings montana|lincoln nebraska|nebraska|pickup truck,2013,Actress in a Supporting Role,June Squibb
425,Jonathan Demme,Rachel Getting Married,12796277.0,Drama|Romance,113.0,12 step program|friend|maid of honor|tears|wedding,2008,Actress in a Leading Role,Anne Hathaway
426,David Lean,Doctor Zhivago,111722000.0,Drama|Romance|War,200.0,bolshevik|poet|poetry|russia|russian revolution,1965,Actor in a Supporting Role,Tom Courtenay
427,David O. Russell,The Fighter,93571803.0,Biography|Drama|Sport,116.0,boxer|boxing|boxing match|crack cocaine|lowell massachusetts,2010,Actor in a Supporting Role,Christian Bale
428,David O. Russell,The Fighter,93571803.0,Biography|Drama|Sport,116.0,boxer|boxing|boxing match|crack cocaine|lowell massachusetts,2010,Actress in a Supporting Role,Amy Adams
